,Item name,Item Description,Item price,Item image url
0,BROCCOLI SOUP,,AED 19.00,https://images.deliveryhero.io/image/talabat/Menuitems/broccoli_soup637898508900989106.jpg?width=172&amp;height=172
1,CHICKEN MISO WRAPS,"2 pieces of miso marinated chicken, mushroom, carrots, sesame seeds & togarashi in a rice sheet",AED 24.00,https://images.deliveryhero.io/image/talabat/Menuitems/E07AA3D6CF34BB66CD0F8F3AD436A3DB?width=172&amp;height=172
2,MISO SOUP,,AED 12.00,https://images.deliveryhero.io/image/talabat/Menuitems/MISO_SOUP637898508900989346.jpg?width=172&amp;height=172
3,SALTED EDAMAME,,AED 21.00,https://images.deliveryhero.io/image/talabat/Menuitems/5B6ED3CEBDE9099AA15FC967E173C838?width=172&amp;height=172
4,SHRIMP TEMPURA,served with chilli carrot sauce on the side,AED 34.00,https://images.deliveryhero.io/image/talabat/Menuitems/B67697AB5744811660BA03DF25DF10A3?width=172&amp;height=172
5,SPICY EDAMAME,,AED 21.00,https://images.deliveryhero.io/image/talabat/Menuitems/FB9491D3489CC582AF0BF0AF13EE9D1B?width=172&amp;height=172
6,TOMATO SOUP,,AED 19.00,https://images.deliveryhero.io/image/talabat/Menuitems/Tomato_Soup637898508900989440.jpg?width=172&amp;height=172
7,BEEF DONBURI,"tenderloin, rice, fermented cabbage, poached egg with crunchy wasabi mayo & sesame ponzu",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/8874BFCB09E52F5C7F89AB23DEDCA2D5?width=172&amp;height=172
8,CHICKEN SUPREME,"homemade focaccia, sous vide chicken breast, homemade fermented red cabbage - spicy mayo",AED 48.00,https://images.deliveryhero.io/image/talabat/Menuitems/D8E4CD6A6E35E3C8BFC62EE44A7B1B7F?width=172&amp;height=172
9,EGGPLANT CONFIT,"eggplant poached in olive oil, flavored jasmin rice with fresh coriander sauce",AED 49.00,https://images.deliveryhero.io/image/talabat/Menuitems/EGGPLANT_CONFIT637898508900989134.jpg?width=172&amp;height=172
10,JAPANESE CURRY BEEF,"beef tenderloin, Japanese curry, wakame, homemade fermented red cabbage, jasmine rice",AED 49.00,https://images.deliveryhero.io/image/talabat/Menuitems/67853B72BA6FF2761ABC4012A21F364C?width=172&amp;height=172
11,PASTRAMI BRISKET,"homemade focaccia, pastrami brisket, fermented cabbage - japanese mayo",AED 49.00,https://images.deliveryhero.io/image/talabat/Menuitems/7B4B84A7D6E431DB944E8F2D96929D7D?width=172&amp;height=172
12,SALMON & SOBA,"pan-seared Norwegian salmon, stir fry soba noodles - wafu sauce",AED 54.00,https://images.deliveryhero.io/image/talabat/Menuitems/A68F2389E55E9A1C47003FBF1AE3543A?width=172&amp;height=172
13,Chicken Burrito,"nori rice wrap, chicken breast, pomegranate, gherkins, lettuce, onion, charcoaled sweet corn, baked sweet potato, chery tomato, wasabi cashews, crispy seaweed flakes - wafu & coriander sauce",AED 38.00,https://images.deliveryhero.io/image/talabat/Menuitems/00BAFC59CC7CEBA8CD6611B8FC952337?width=172&amp;height=172
14,Salmon Burrito,"nori rice wrap, fresh salmon, spring onion, mango, edamame, cucumber, avocado, pickled ginger, crispy seaweed flakes, toasted sesame seeds - Ensō ponzu & crunchy wasabi aioli",AED 45.00,https://images.deliveryhero.io/image/talabat/Menuitems/354DB853CF274C0C97E18E63A37D942D?width=172&amp;height=172
15,Sauteed Tofu Burrito,"nori rice wrap, sautéed tofu, spring onion, mango, carrot, baked sweet potato, fermented red cabbage, cucumber, wasabi cashew, lotus chips - jalapeño & ginger sauce",AED 37.00,https://images.deliveryhero.io/image/talabat/Menuitems/D3AB2FEE5EF82F3655D511C30642572A?width=172&amp;height=172
16,Spicy Prawns Burrito,"nori rice wrap, prawns mixed with diced mango, pickled jalapeño, edamame, carrot, cucumber, seaweed salad, crispy seaweed flakes, tenkatsu - sriracha aioli",AED 40.00,https://images.deliveryhero.io/image/talabat/Menuitems/FF9F0F58DD107D51EE694ABC7EC97D05?width=172&amp;height=172
17,Tenderloin Beef Burrito,"nori rice wrap, tenderloin beef, spring onion, gherkins, sauteed mushroom, cucumber, pickled red cabbage, carrot, beetroot flakes & sesame seeds - sriracha aioli & sesame ponzu",AED 40.00,https://images.deliveryhero.io/image/talabat/Menuitems/A9DAC08D06BD5B87CCA5803F367F4E48?width=172&amp;height=172
18,Tuna and Crab Burrito,"nori rice wrap, fresh tuna, crab mix, seaweed flakes, spring onion, avocado, shredded cucumber, red onion, seaweed salad, tenkatsu, crispy seaweed flakes - crunchy wasabi aioli",AED 45.00,https://images.deliveryhero.io/image/talabat/Menuitems/0586916A5B4451DCC2689C1E948DEFAA?width=172&amp;height=172
19,Beef Tenderloin,"sushi rice, tenderloin beef, spring onion, gherkins, cherry tomato, red cabbage, baked sweet potato, beetroot, cucumber, panko, sesame seeds, beetroot flakes - sriracha aioli & sesame ponzu",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/6F443EEFDAD99DA7D546AD593C14644B?width=172&amp;height=172
20,Chicken Breast,"sushi rice, grilled chicken, gherkins, pomegranate, sauteed mushroom, beetroot, baked sweet potato, charcoaled sweet corn, pickled cabbage, crispy seaweed, wasabi cashews - crunchy wasabi aioli",AED 50.00,https://images.deliveryhero.io/image/talabat/Menuitems/CF8E933CC9617A1C798ECDC65E9FCE58?width=172&amp;height=172
21,Fresh Salmon,"signature rice, fresh salmon, spring onion, mango, carrot, avocado, pickled red cabbage, edamame, crab mix, chopped almond, sesame seeds - jalapeño & ginger",AED 58.00,https://images.deliveryhero.io/image/talabat/Menuitems/EA555ADAD424DD85F79CFB972F074D0E?width=172&amp;height=172
22,Fresh Tuna,"sushi rice, fresh tuna, gherkins, pickled jalapeño, crab mix, cucumber, avocado, seaweed salad, pickled ginger, seaweed flakes, tenkatsu, sesame seeds - Ensō ponzu",AED 58.00,https://images.deliveryhero.io/image/talabat/Menuitems/5E3298B182845D342D3DF8758082D28D?width=172&amp;height=172
23,Sautéed Tofu,"sushi rice, sautéed tofu, cucumber, pomegranate, beetroot, red onion, avocado, carrot, fermented red cabbage, lotus chips, coconut flakes - garlic ponzu sauce",AED 48.00,https://images.deliveryhero.io/image/talabat/Menuitems/28AE584F984FAF21B294919F3DF5EEAA?width=172&amp;height=172
24,Spicy Prawns Poke,"signature rice, prawn, spring onion, mango, red onion, carrot, pickled ginger, charcoaled sweet corn, baked sweet potato, sesame seeds, tenkatsu - sriracha aioli",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/696C603590B30ADD34F284823390038D?width=172&amp;height=172
25,Make Your Own Burrito Full,,AED 47.00,https://images.deliveryhero.io/image/talabat/Menuitems/Make_Your_Own_Burrito_Ful637898508900989162.jpg?width=172&amp;height=172
26,Make Your Own Burrito Half,,AED 33.00,https://images.deliveryhero.io/image/talabat/Menuitems/Make_Your_Own_Burrito_Hal637898508900989201.jpg?width=172&amp;height=172
27,Make Your Own Poke Bowl Full Portion,,AED 42.00,https://images.deliveryhero.io/image/talabat/Menuitems/Make_Your_Own_Poke_Bowl_F637898508900989234.jpg?width=172&amp;height=172
28,Make Your Own Poke Bowl Half Portion,,AED 40.00,https://images.deliveryhero.io/image/talabat/Menuitems/Make_Your_Own_Poke_Bowl_H637898508900989277.jpg?width=172&amp;height=172
29,BLUEBERRY LEMON CHEESECAKE,Our blueberry lemon cheesecake is baked on our original double baked almonds infused biscuit crust and lathered with clouds of our soufflé like cheesecake mixture into which we fold in fresh blueberries and tangy lemon zest.,AED 19.00,https://images.deliveryhero.io/image/talabat/Menuitems/2BE246B29C6EF7B502343228AB194291?width=172&amp;height=172
30,LEGENDARY BROWNIE,"The original legendary brownie, made with a combination of 3 types of dark chocolate and more chocolate chips for that oushe legendary fudgy brownie taste.",AED 15.00,https://images.deliveryhero.io/image/talabat/Menuitems/6923EB3FB88AD2598872658BE64F99D1?width=172&amp;height=172
