,Item name,Item Description,Item price,Item image url
0,Gino's Meal for One,"Choice of Panuozzo, Fries, and Soft Drink - AED 49",AED 49.00,https://images.deliveryhero.io/image/talabat/Menuitems/CC6481BAD3E6ABE7D58A6EAE9E640209?width=172&amp;height=172
1,Gino's Meal for 2,"Choice of any 2 Panuozzo, 2 Fries, and 2 Soft Drink - AED 109",AED 109.00,https://images.deliveryhero.io/image/talabat/Menuitems/9A1C3DABCBF45982973C027566B7B190?width=172&amp;height=172
2,Family Meal (Serves 4),"Any 4 Panuozzo or Pasta, 4 Appetisers, 4 Soft Drink - AED 199",AED 199.00,https://images.deliveryhero.io/image/talabat/Menuitems/C463E70A095207970DD5E366569D1B40?width=172&amp;height=172
3,Appetizer Share Box,Choice of any 3 appetizers - perfect for sharing!,AED 64.00,/assets/images/img-placeholder.svg
4,Any 3 Panuozzo,"Choice of any 3 of our famous, authentic, fresh baked panuozzo!",AED 99.00,/assets/images/img-placeholder.svg
5,Ginos Chicken Strips,"Juicy, tender, succulent chicken strips. Served with a choice of house made dips",AED 32.00,/assets/images/img-placeholder.svg
6,Sweet Potato Fries,"Sweet and crispy fries, served with a choice of house-made dips",AED 24.00,/assets/images/img-placeholder.svg
7,Ginos Potato Wedges,"Crispy fried potato wedges, lightly seasoned. Served with a choice of house-made dips",AED 24.00,/assets/images/img-placeholder.svg
8,Mozzarella Balls,"Mini breaded mozzarella bites, served with a choice of house-made dip",AED 29.00,/assets/images/img-placeholder.svg
9,Garlic Bread & Mozzarella,Oven baked ciabatta with homemade roast garlic oil and fresh fior di latte mozzarella,AED 23.00,/assets/images/img-placeholder.svg
10,Gino's Chicken Wings (6),"Premium, thick, juicy wings smothered in your choice of Smoky BBQ sauce or tangy Buffalo. Served with a Blue cheese dip (6 wings)",AED 32.00,/assets/images/img-placeholder.svg
11,Arancini,"Italian rice balls stuffed with tomato and mozzarella, and shallow fried. Served with a choice of house-made dip",AED 29.00,/assets/images/img-placeholder.svg
12,Quinoa Greco Salad,"White quinoa, authentic Greek feta, Kalamata olives, pine nuts, cherry tomato, fresh rocket, Italian lime dressing",AED 43.00,/assets/images/img-placeholder.svg
13,Italian Chicken Pasta Salad,"Served cold Pasta salad with fusili, roast chicken, sweetcorn, kalamata olives, sundried tomato, fresh rocket, grated parmesan and pesto dressing",AED 43.00,/assets/images/img-placeholder.svg
14,Ginos Chicken Caesar Salad,"Fresh Romaine lettuce with a creamy Caesar dressing, crispy garlic croutons, powdered parmesan cheese and grilled chicken breast",AED 43.00,/assets/images/img-placeholder.svg
15,Tomato & Mozzarella (Sandwich),"Freshly baked panuozzo with sliced tomato, fresh thick cut buffalo mozzarella, homemade pesto, fresh basil",AED 44.00,/assets/images/img-placeholder.svg
16,Salami Melt (Sandwich),"Freshly baked panuozzo with Italian tomato sauce, fresh ricotta, fior di latte mozzarella, fresh rocket, Italian salami, oregano",AED 42.00,/assets/images/img-placeholder.svg
17,Fire Chicken BBQ (Sandwich),"Freshly baked panuozzo with crispy fried chicken, homemade caramelized onion, smoky bbq sauce, jalapenos and fior di latte mozzarella",AED 42.00,/assets/images/img-placeholder.svg
18,Chicken Pesto Mozzarella (Sandwich),"Freshly baked panuozzo with creamy pesto sauce, oven roast shredded chicken, fior di latte mozzarella, and sundried tomatoes",AED 44.00,/assets/images/img-placeholder.svg
19,Italian Meatball (Sandwich),"Fresh baked panuozzo oozing with Gino's homemade Italian meatballs in a rich tomato ragu, topped with fior di latte mozzarella, parmesan, and a sprinkling of oregano. Mamma Mia!",AED 44.00,/assets/images/img-placeholder.svg
