,Item name,Item Description,Item price,Item image url
0,Vegetarian Ash Soup,,AED 12.00,/assets/images/img-placeholder.svg
1,Vegetarian Mashawa Soup,,AED 18.00,/assets/images/img-placeholder.svg
2,Chicken Soup,"Spicy thick soup with vegetables, herbs and chicken.",AED 18.00,/assets/images/img-placeholder.svg
3,Lamb Soup,"Soup with vegetables, herbs and fresh lamb cuts.",AED 18.00,/assets/images/img-placeholder.svg
4,Tomato Soup,Made from fresh vegetables and all-natural ingredients.,AED 14.40,/assets/images/img-placeholder.svg
5,Vegetable Clear Soup,Clear soup with vegetables and herbs.,AED 14.40,/assets/images/img-placeholder.svg
6,Chicken Clear Soup,Clear soup with steamed chicken pieces and herbs.,AED 18.00,/assets/images/img-placeholder.svg
7,Samudri Soup,"Spicy thick soup with vegetables, herbs and shrimp.",AED 18.00,/assets/images/img-placeholder.svg
8,Chicken Tikka,,AED 19.20,https://images.deliveryhero.io/image/talabat/Menuitems/20211004_Talabat_UAE_637691402745904195.jpg?width=172&amp;height=172
9,Prawns Tikka,,AED 26.40,/assets/images/img-placeholder.svg
10,Amritsari Machhi,,AED 26.40,/assets/images/img-placeholder.svg
11,Sunehri Jhinga,,AED 26.40,/assets/images/img-placeholder.svg
12,Chicken Shish Kebab,,AED 21.60,https://images.deliveryhero.io/image/talabat/Menuitems/20211004_Talabat_UAE_637691402753384198.jpg?width=172&amp;height=172
13,Paneer Tikka,,AED 18.00,/assets/images/img-placeholder.svg
14,Paneer Chili,,AED 18.00,/assets/images/img-placeholder.svg
15,Plain Zamarod Pulao,,AED 12.00,/assets/images/img-placeholder.svg
16,Plain Zamarod Pulao With Chicken,,AED 18.00,/assets/images/img-placeholder.svg
17,Vegetarian Aubergine,,AED 12.00,/assets/images/img-placeholder.svg
18,Chicken Karahi,,AED 18.00,/assets/images/img-placeholder.svg
19,Plain Kabuli Rice,,AED 12.00,/assets/images/img-placeholder.svg
20,Kabuli Rice With Chicken,,AED 18.00,/assets/images/img-placeholder.svg
21,Afghani Mix Grill Plate,,Price on Selection,/assets/images/img-placeholder.svg
22,Arabic Mix Grill Plate,,Price on Selection,/assets/images/img-placeholder.svg
23,Grilled Seafood Plate,,Price on Selection,/assets/images/img-placeholder.svg
24,Afghani Chicken Kebab,,AED 36.00,/assets/images/img-placeholder.svg
25,Lokma Kebab,"Rich creamy chicken kebab made using cashew, cream and cheese based marination.",AED 24.00,https://images.deliveryhero.io/image/talabat/Menuitems/20211004_Talabat_UAE_637691402761784313.jpg?width=172&amp;height=172
26,Shrimp Kebab,"Tossed up in our special Afghani marinade with garlic, fresh herbs and then quickly grilled for the dinner or appetizer.",AED 24.00,/assets/images/img-placeholder.svg
27,Grilled Chicken with Red Chilli,Bone-in chicken marinated with our special red chili sauce and cooked perfectly on charcoal grill.,Price on Selection,/assets/images/img-placeholder.svg
28,Grilled Chicken with Green Chilli,"Bone-in chicken marinated with our special green chili sauce and cooked perfectly on charcoal grill.
",Price on Selection,/assets/images/img-placeholder.svg
29,Grilled Chicken with Hot Pepper,Bone-in chicken marinated with hot pepper coating and cooked perfectly on charcoal grill.,Price on Selection,/assets/images/img-placeholder.svg
30,Mild Arabian Grilled Chicken,Bone-in chicken cooked perfectly on charcoal grill in authentic Arabian style.,Price on Selection,/assets/images/img-placeholder.svg
31,Peri Peri Grilled Chicken,Bone-in chicken marinated with our special peri peri sauce and cooked perfectly on charcoal grill.,Price on Selection,/assets/images/img-placeholder.svg
32,Grilled Fish Hammour,Hammour is marinated with house-ground spices and cooked over charcoal.,Price on Selection,/assets/images/img-placeholder.svg
33,Flaming Buffalo Wings,Tender chicken wings marinated with our special spicy sauce and char-grilled to perfection.,AED 24.00,/assets/images/img-placeholder.svg
34,Roasted Chicken Drumstick,Juicy chicken legs are marinated with our special spicy sauce and roasted to golden brown.,AED 24.00,/assets/images/img-placeholder.svg
35,Grilled Lamb Chops,Juicy lamb chops marinated with our special herbs and delicately grilled to perfection.,Price on Selection,https://images.deliveryhero.io/image/talabat/Menuitems/20211004_Talabat_UAE_637691402773436538.jpg?width=172&amp;height=172
36,Butter Chicken,,AED 18.00,https://images.deliveryhero.io/image/talabat/Menuitems/20211004_Talabat_UAE_637691402781866561.jpg?width=172&amp;height=172
37,Chicken Kadai,,AED 16.80,/assets/images/img-placeholder.svg
38,Bhuna Murgh,,AED 18.00,/assets/images/img-placeholder.svg
39,Chicken Tikka Masala,,AED 19.20,/assets/images/img-placeholder.svg
40,White Chicken Korma,,AED 19.20,https://images.deliveryhero.io/image/talabat/Menuitems/20211004_Talabat_UAE_637691402789679353.jpg?width=172&amp;height=172
41,Chicken Tandoori,,Price on Selection,/assets/images/img-placeholder.svg
42,Bhuna Gosh,,AED 24.00,/assets/images/img-placeholder.svg
43,Rogan Gosh,,AED 24.00,https://images.deliveryhero.io/image/talabat/Menuitems/20211004_Talabat_UAE_637691402798109312.jpg?width=172&amp;height=172
44,Lal Gosh,,AED 24.00,/assets/images/img-placeholder.svg
45,Malabar Fish Curry,,AED 18.00,/assets/images/img-placeholder.svg
46,Prawns Kadai,,AED 24.00,https://images.deliveryhero.io/image/talabat/Menuitems/20211004_Talabat_UAE_637691402813467666.jpg?width=172&amp;height=172
47,Fish Tawa Fry,,AED 18.00,https://images.deliveryhero.io/image/talabat/Menuitems/20211004_Talabat_UAE_637691402821187690.jpg?width=172&amp;height=172
48,Chana Masala,,AED 9.60,/assets/images/img-placeholder.svg
49,Chicken Biriyani,,AED 12.00,https://images.deliveryhero.io/image/talabat/Menuitems/20211004_Talabat_UAE_637691402846010333.jpg?width=172&amp;height=172
50,Chicken Tikka Biriyani,,AED 14.40,https://images.deliveryhero.io/image/talabat/Menuitems/20211004_Talabat_UAE_637691402852726864.jpg?width=172&amp;height=172
51,Mutton Biriyani,,AED 24.00,https://images.deliveryhero.io/image/talabat/Menuitems/20211004_Talabat_UAE_637691402861669459.jpg?width=172&amp;height=172
52,Fish Biriyani,,AED 19.20,https://images.deliveryhero.io/image/talabat/Menuitems/20211004_Talabat_UAE_637691402869599482.jpg?width=172&amp;height=172
53,Prawns Biriyani,,AED 19.20,https://images.deliveryhero.io/image/talabat/Menuitems/20211004_Talabat_UAE_637691402877041743.jpg?width=172&amp;height=172
54,Plain Rice,,AED 10.00,/assets/images/img-placeholder.svg
55,Poratta,,AED 1.50,/assets/images/img-placeholder.svg
56,Chapati,,AED 1.50,/assets/images/img-placeholder.svg
