,Item name,Item Description,Item price,Item image url
0,Jerk Corn,Jerk mayonnaise and toasted coconut.,AED 35.00,/assets/images/img-placeholder.svg
1,Salt Cod Fritters,Crispy bite sized fritters served with curry dipping sauce,AED 40.00,/assets/images/img-placeholder.svg
2,Jerk Chicken Roti,"Grilled chicken, jerk mayonnaise and paratha bread. ",AED 45.00,/assets/images/img-placeholder.svg
3,Fried Chicken Coco Buns,"Three pieces, scotch bonnet, pickled cucumbers and charred cabbage. ",AED 60.00,/assets/images/img-placeholder.svg
4,Miss Lily's Double Cheese Burger,"Double beef patty, signature burger sauce, cucumber escovitch, red onions and jerk fries. ",AED 80.00,/assets/images/img-placeholder.svg
5,Crispy Chicken Sandwich,"Charred cabbage slaw, cucumber escovitch and jerk fries. ",AED 65.00,/assets/images/img-placeholder.svg
6,Miss Lily's World-Famous Jerk Half Chicken,"With mango chutney, cucumber escovitch, and choice of one free Miss Lily's sides. ",AED 85.00,/assets/images/img-placeholder.svg
7,Miss Lily's World-Famous Jerk Whole Chicken,"With mango chutney, cucumber escovitch, and choice of two free Miss Lily's sides. ",AED 135.00,/assets/images/img-placeholder.svg
8,RichieS Fried Half Chicken,"Chefs signature fried chicken, coleslaw and house baked coco bread.",AED 85.00,/assets/images/img-placeholder.svg
9,RichieS Fried Whole Chicken,"Chefs signature fried chicken, coleslaw and house baked coco bread.",AED 125.00,/assets/images/img-placeholder.svg
10,Oxtail Stew,"Rich gravy, broad beans, rice and peas. ",AED 95.00,/assets/images/img-placeholder.svg
11,West Indian Curry Prawns,"Buss-up shut, curry gravy and jasmine rice. ",AED 95.00,/assets/images/img-placeholder.svg
12,Escovitched Fish,"Whole fried sea bream, bammy and pickle.",AED 90.00,/assets/images/img-placeholder.svg
13,Ital Vegetarian Stew,"Red kidney beans, coconut cream, potatoes, carrots, jamaican spices and coconut rice. ",AED 65.00,/assets/images/img-placeholder.svg
14,Vegetarian Curry Noodles,"Snow peas, long beans, shishitos, peanuts, okra and coriander. ",AED 65.00,/assets/images/img-placeholder.svg
15,Kale Caesar Salad,"Shaved organic kale, jerk bread crumbs and halloumi cheese. ",AED 40.00,/assets/images/img-placeholder.svg
16,Rice And Peas,,AED 20.00,/assets/images/img-placeholder.svg
17,Organic Green,,AED 20.00,/assets/images/img-placeholder.svg
18,Jerk French Fries,,AED 20.00,/assets/images/img-placeholder.svg
19,Plantain,,AED 20.00,/assets/images/img-placeholder.svg
20,Festivals,"Also known as the Caribbean dumpling - sweet, fried comfort  food",AED 20.00,https://images.deliveryhero.io/image/talabat/Menuitems/Festivals_637380260579859952.jpeg?width=172&amp;height=172
21,Dirty Mac And Cheese,,AED 20.00,/assets/images/img-placeholder.svg
22,Crispy Okra And Potato,,AED 20.00,/assets/images/img-placeholder.svg
23,Ackee Hummus,Grilled roti flatbread (vegetarian),AED 40.00,/assets/images/img-placeholder.svg
24,Miss Lily's Patties - Piece,,AED 25.00,/assets/images/img-placeholder.svg
25,Miss Lily's Patties - 3 pieces,,AED 60.00,/assets/images/img-placeholder.svg
26,Large Homemade Scotch Bonnet Sauce,10 oz. ,AED 25.00,/assets/images/img-placeholder.svg
27,Large Homemade Jerk Sauce ,10 oz. ,AED 25.00,/assets/images/img-placeholder.svg
28,Jerk Sauce,2 oz. ,AED 5.00,/assets/images/img-placeholder.svg
29,Jerk Mayonnaise,2 oz. ,AED 5.00,/assets/images/img-placeholder.svg
30,Homemade Scotch Bonnet Sauce,1 oz. ,AED 5.00,/assets/images/img-placeholder.svg
31,Scotch Bonnet Mayonnaise,2 oz. ,AED 5.00,/assets/images/img-placeholder.svg
32,Homemade Coconut Cake,"Sponge cake, cream cheese frosting and sweet coconut flakes. ",AED 40.00,/assets/images/img-placeholder.svg
33,Dark And Stormy Cake,Ginger ice cream and caramel sauce. ,AED 30.00,/assets/images/img-placeholder.svg
34,Goldberg Tonic Water,200 ml. ,AED 12.00,/assets/images/img-placeholder.svg
35,Goldberg Ginger Ale,200 ml. ,AED 12.00,/assets/images/img-placeholder.svg
36,Goldberg Intense Ginger,200 ml. ,AED 12.00,/assets/images/img-placeholder.svg
37,Coca-Cola,250 ml. ,AED 12.00,https://images.deliveryhero.io/image/talabat/Menuitems/Coca-Cola_330ML_637380237772653172.jpg?width=172&amp;height=172
38,Coca-Cola Light,250 ml. ,AED 12.00,https://images.deliveryhero.io/image/talabat/Menuitems/Coca-Cola_Light_330ML_637380237777387711.jpg?width=172&amp;height=172
39,Sprite,250 ml. ,AED 12.00,https://images.deliveryhero.io/image/talabat/Menuitems/Sprite_330ML_637380237783823881.jpg?width=172&amp;height=172
40,San Benedetto Still Water,750 ml. ,AED 15.00,/assets/images/img-placeholder.svg
41,San Benedetto Sparkling Water,750 ml. ,AED 15.00,/assets/images/img-placeholder.svg
