,Item name,Item Description,Item price,Item image url
0,Plant Based Lasagna,,AED 63.00,https://images.deliveryhero.io/image/talabat/Menuitems/9113A49F299555E502E5D7997502507C?width=172&amp;height=172
1,Plant Based Pasta Bolognese,,AED 51.00,https://images.deliveryhero.io/image/talabat/Menuitems/C155AE9840C3B0BE6C8FCC5E8F5C58D6?width=172&amp;height=172
2,Garlic Bread with Cheese ﺧﺒﺰ ﺑﺎﻟﺜﻮم ﻣﻊ ﺟﺒﻨﺔ,Crunchy baguette toasted with garlic butter and mozzarella cheese.,AED 27.00,https://images.deliveryhero.io/image/talabat/Menuitems/0E7E987B297027C8B941DEED60CD5F00?width=172&amp;height=172
3,Garlic Bread,Crunchy baguette toasted with garlic butter,AED 19.00,https://images.deliveryhero.io/image/talabat/Menuitems/7E83C48DB5A524F2E8E5D06FC5D398B6?width=172&amp;height=172
4,Sicilian Prawns روﺑﻴﺎن ﻋﲆ اﻟﻄﺮﻳﻘﺔ اﻟﺼﻘﻠﻴﺔ,"Prawns sautéed with chili, garlic bread crumbs and parsley, served with garlic aioli.",AED 53.00,https://images.deliveryhero.io/image/talabat/Menuitems/93A17F72E66CE5992443D1C099596497?width=172&amp;height=172
5,Bruschetta Pomodori ﺑﺮوﺷﻴﺘﺎ اﻟﻄماﻃﻢ,"Pizza bread topped with cherry tomatoes, creamy mozzarella, basil, garlic and olive oil.",AED 39.00,https://images.deliveryhero.io/image/talabat/Menuitems/C3BDEA526A25E6E7D637BAFDC70788C2?width=172&amp;height=172
6,Arancini أراﻧﺴﻴﻨﻲ,"Crumb fried sicilian rice balls stuffed with baby shrimps and mozzarella, served with creamy pesto sauce.",AED 36.00,https://images.deliveryhero.io/image/talabat/Menuitems/604B141471F63A7214EFC122F9AFEAE8?width=172&amp;height=172
7,Jalapeño Bites ﻫﺎﻻﺑﻴﻨﻮ ﺑﺎﻳﺘﺲ,Breaded cream cheese balls dotted with jalapeños.,AED 32.00,https://images.deliveryhero.io/image/talabat/Menuitems/955840697115D705DE2D86AF18660DA4?width=172&amp;height=172
8,Mozzarelle Fritti ﻣﻮﺗﺰارﻳﻼ ﻓﺮﻳﺘﻲ,Seasoned and breaded mozzarella sticks served with tomato dip.,AED 33.00,https://images.deliveryhero.io/image/talabat/Menuitems/DFA210AAB2A70C307BCE7042627351CF?width=172&amp;height=172
9,Oregano Wings ﺟﻮاﻧﺢ أورﻳﻐﺎﻧﻮ,Hot and tangy chicken wings served with sour cream dip.,AED 46.00,https://images.deliveryhero.io/image/talabat/Menuitems/E51948DAEBD7104D7E1BA0864CF3D5EC?width=172&amp;height=172
10,Parmesan Wings ﺟﻮاﻧﺢ ﺑﺠبن اﻟﺒﺎرﻣﻴﺰان,"Crispy fried wings lightly tossed in lemon butter along with herbs, spices and Parmesan, served with sour cream dip.",AED 45.00,https://images.deliveryhero.io/image/talabat/Menuitems/D32DF7CE648A2E1F9B26241FECDF7C9F?width=172&amp;height=172
11,Salt and Pepper Calamari ﻛﺎﻻﻣﺎري ﺑﺎﳌﻠﺢ واﻟﻔﻠﻔﻞ,"Calamari lightly tossed in seasoned flour and fried to a crisp, served with aioli.",AED 46.00,https://images.deliveryhero.io/image/talabat/Menuitems/96A193429736A76A14A2911E453BDF87?width=172&amp;height=172
12,Seasoned Potato Wedges ﺟﻮاﻧﺢ ﺑﻄﺎﻃﺲ ﺑﺎﻟﺘﻮاﺑﻞ,Potato wedges served with sweet chili and sour cream.,AED 25.00,https://images.deliveryhero.io/image/talabat/Menuitems/9DB47C08A3C29073A7B10AEB3BA47A51?width=172&amp;height=172
13,Bruschetta Contadina,"Ciabatta bread spread with homemade pesto, topped with vine 
ripened cherry tomatoes & fresh diced onions",AED 31.00,https://images.deliveryhero.io/image/talabat/Menuitems/FF54E01C0ACC947A815470AC660888C4?width=172&amp;height=172
14,Vesuvio,Freshly baked bread rolls filled with jalapenos and cheddar cheese.,AED 21.00,https://images.deliveryhero.io/image/talabat/Menuitems/AA2D4F95DA84626F19BCDF7FB46B63D5?width=172&amp;height=172
15,Bruschetta Funghi,"Ciabatta bread topped with ricotta cheese, sauteed mushrooms, 
sundried tomatoes, feta, wild rockets, onions & chili",AED 37.00,https://images.deliveryhero.io/image/talabat/Menuitems/41F5D3DDC9F00E34D3DA0E77A1D9545C?width=172&amp;height=172
16,Barbecue Wings,Chicken wings tossed in homemade barbecue sauce.,AED 45.00,https://images.deliveryhero.io/image/talabat/Menuitems/EF61293EDAD7E157EBA30EB16EA045B4?width=172&amp;height=172
17,Dynamite Chicken Pops,"For the brave and adventurous only.... pieces of tender 
chicken tossed in a fiery hot sauce, served with sour cream. (Note : Request for hot sauce on the side to balance the spice level)",AED 45.00,https://images.deliveryhero.io/image/talabat/Menuitems/CD8B9283A976E031A3FCEFEC9E163FC4?width=172&amp;height=172
18,Ravioli Fritti,"Breaded spinach & ricotta ravioli, served with 
crespelle sauce & tomato dip",AED 32.00,https://images.deliveryhero.io/image/talabat/Menuitems/4CB03B13274C9715075E8E0E26B4F6BB?width=172&amp;height=172
19,Gnocchi Fritti,"Crisped up Gnocchi sprinkled with Parmesan & served with a 
creamy tomato dip",AED 27.00,https://images.deliveryhero.io/image/talabat/Menuitems/3D5821EB49CA4A9E53F6C73E277E5A03?width=172&amp;height=172
20,Minestrone مينيسرتوين,Traditional tomato based soup with diced vegetables and pasta.,AED 25.00,https://images.deliveryhero.io/image/talabat/Menuitems/B9199DEF44FFD447CF7DACBBBD9FB914?width=172&amp;height=172
21,Cream of Chicken,Creamy chicken soup,AED 26.00,/assets/images/img-placeholder.svg
22,Truffle & Mushroom Soup,"An earthy soup made from a mix of mushrooms 
and truffles",AED 27.00,/assets/images/img-placeholder.svg
23,Cream of Pumpkin Soup,Roasted pumpkin cream soup,AED 26.00,/assets/images/img-placeholder.svg
24,Insalata Venezia سلطة فينيسيا,"Fresh rocket leaves topped with semi dried tomatoes, sautéed mushrooms, sweet roasted peppers, feta and pine kernels, served with balsamic dressing.",AED 46.00,https://images.deliveryhero.io/image/talabat/Menuitems/5E7FBEE05915E1B78F172D80506E78AF?width=172&amp;height=172
25,Chicken Caesars Salad سلطة سيزر الدجاج,"Fresh greens topped with grilled chicken, beef bacon, cherry tomatoes, parmesan cheese and garlic croutons, served with house dressing.",AED 47.00,https://images.deliveryhero.io/image/talabat/Menuitems/56631CFAF0FA11789AB57BB5AA5AA519?width=172&amp;height=172
26,Salmon and Quinoa Salad سلطة سمك السلمون والكينوا,"Quinoa mixed with salad greens and topped with roasted beetroot, semi dried tomatoes, diced cucumber, crumbled feta cheese and oven baked salmon. Drizzled with truffle oil and vinegar.",AED 53.00,https://images.deliveryhero.io/image/talabat/Menuitems/5203CE53B28776FFAB994B69B161203E?width=172&amp;height=172
27,Mediterranean Salad سلطة مديتريانيان,"Fresh greens topped with cucumber, cherry tomatoes, olives, spring onions and feta cheese, drizzled with herb vinaigrette and topped with flat crispy croutons.",AED 47.00,https://images.deliveryhero.io/image/talabat/Menuitems/C362A2412CF625CE9F0FB4094F380562?width=172&amp;height=172
28,Burrata Salad ﺳﻠﻄﺔ اﻟﺒﻮراﺗﺎ,"Creamy italian mozzarella served on a bed of grilled baby marrow, cherry tomatoes, rocket leaves, diced cucumbers and fresh basil, drizzled with balsamic and olive oil.",AED 49.00,https://images.deliveryhero.io/image/talabat/Menuitems/6E1524D78CAAD23086757627B4DA279C?width=172&amp;height=172
29,Ruccola Salad,"Rocket leaves topped with baby mozzarella, semi dried tomatoes, 
black olives, & parmesan, drizzled with balsamic dressing.",AED 47.00,https://images.deliveryhero.io/image/talabat/Menuitems/F1DE5FF0C05C1F4B6EEDFFEE3F0EA888?width=172&amp;height=172
30,Kale & Quinoa Salad,"Kale, green apple, avocado, cucumber, pomegranate, quinoa, 
walnuts, sweet corn, feta cheese and drizzled with a mild 
balsamic & orange dressing",AED 47.00,https://images.deliveryhero.io/image/talabat/Menuitems/36961AB8DCD3B6F1DB251D718B68163E?width=172&amp;height=172
31,Caprese,"Simply yet wonderful salad from the region of Campagna made from vine 
ripened tomatoes, olives and baby mozzarella, drizzled with balsamic dressing, olive oil and sundried tomato",AED 45.00,https://images.deliveryhero.io/image/talabat/Menuitems/EE95C02AD514755BCA702B9BA45BAFFC?width=172&amp;height=172
