,Item name,Item Description,Item price,Item image url
0,Nonna's Meal for 1,"Any Appetiser, Any Pasta, Any Soft Drink",AED 65.00,https://images.deliveryhero.io/image/talabat/Menuitems/A978DF4B0B3010DD2DC990A758CF3DA9?width=172&amp;height=172
1,Nonna's Meal for 2,"Any 2 Appetisers, any 2 Pasta's and 2 Soft Drinks!",AED 125.00,https://images.deliveryhero.io/image/talabat/Menuitems/E027EE31FA1D1EE5601A8FD4D8A562ED?width=172&amp;height=172
2,Pasta Party Pack - Any 4 pasta's,Choose any 4 pastas from our menu!,AED 149.00,https://images.deliveryhero.io/image/talabat/Menuitems/643F8604BDDE799B008A2F243FFB1EC5?width=172&amp;height=172
3,Nonna's Chicken Strips,"Tender, crispy and delicious - thats how Mamma makes them! Served with BBQ Sauce (4 strips)",AED 29.00,https://images.deliveryhero.io/image/talabat/Menuitems/2AB03F62823E1D36019BAE958FF0757C?width=172&amp;height=172
4,Chili Cheese Bites,"Breaded, crispy, (slightly) chili cheesy bites with a soft centre. Served with a homemade garlic & herb dip",AED 29.00,https://images.deliveryhero.io/image/talabat/Menuitems/883A86F2C8ADB637DC31C0FF7AF3ABB2?width=172&amp;height=172
5,Nonna's Sweet Potato Fries,Perfectly crunchy sweet potato fries with a sweet chili dip,AED 23.00,https://images.deliveryhero.io/image/talabat/Menuitems/2ECD686CD342B11621A64B85A0CF6C47?width=172&amp;height=172
6,Homemade Garlic Bread & Mozzarella,"Homemade freshly baked bread with fresh garlic and EVOO, topped with our creamy mozzarella",AED 25.00,https://images.deliveryhero.io/image/talabat/Menuitems/94934064ACCEE0EF10A59188F6CB27DC?width=172&amp;height=172
7,Nonna's Chicken Wings (6) - BBQ,"Premium, thick, juicy wings smothered in your choice of Smoky BBQ sauce. Served with a Blue cheese dip (6 wings)",AED 32.00,https://images.deliveryhero.io/image/talabat/Menuitems/DCFF61FF2AF96CE792DDE55B8A454233?width=172&amp;height=172
8,Nonna's Chicken Wings (6) - Buffalo,"Premium, thick, juicy wings smothered in tangy Buffalo sauce. Served with a Blue cheese dip",AED 32.00,https://images.deliveryhero.io/image/talabat/Menuitems/1A3E4EE5CF3DDBC6E50122561EDABC47?width=172&amp;height=172
9,Tuscan Chicken Pasta Salad,"Served cold A delightful mix of Italian flavours and one of Nonna's crowd pleasers - fusili pasta, kalamata olives, shredded roast chicken, sweetcorn, fresh rocket, sun-dried tomato, pine nuts, homemade fresh basil pesto and parmesan",AED 43.00,https://images.deliveryhero.io/image/talabat/Menuitems/303F3D7D33FAA697EC415F27313E760C?width=172&amp;height=172
10,Nonna's Grilled Chicken Caesar Salad,"Crispy Romaine lettuce with Nonna's creamy Caesar dressing, homemade garlic croutons, powdered parmesan cheese and grilled chicken breast",AED 43.00,https://images.deliveryhero.io/image/talabat/Menuitems/2CE50F7174DA328B002D15AF3DC724A7?width=172&amp;height=172
11,Sicilian Tuna Pasta Salad,"Served cold Fusili pasta with Nonna's tuna mayo with Mediterranean tuna, sundried tomato, sweetcorn and spring onion",AED 43.00,https://images.deliveryhero.io/image/talabat/Menuitems/447C54ED3FFFCC560DE77F7A11CD017A?width=172&amp;height=172
