,Item name,Item Description,Item price,Item image url
0,Meal for One,"Any Pizza, Appetiser & Soft Drink!",AED 65.00,https://images.deliveryhero.io/image/talabat/Menuitems/654F07DB5C5A929AF369EB1F2FAE4FA2?width=172&amp;height=172
1,Meal for 2,"Any 2 Pizzas, Any Appetizer, 2 Soft Drinks. Super value and perfect for sharing!",AED 99.00,https://images.deliveryhero.io/image/talabat/Menuitems/1CAC1263C6057D7D1E5A1632C8FD2D59?width=172&amp;height=172
2,Appetiser Sharing Box,Choice of any 3 Appetisers!,AED 72.00,https://images.deliveryhero.io/image/talabat/Menuitems/58FF53832C95F8C23B92A6CF7C74431E?width=172&amp;height=172
3,Appetiser Sharing Box,Choice of any 3 Appetisers!,AED 72.00,https://images.deliveryhero.io/image/talabat/Menuitems/58FF53832C95F8C23B92A6CF7C74431E?width=172&amp;height=172
4,BBQ Brisket,"Tomato sauce, fior di latte mozzarella, homemade slow cooked pulled BBQ beef brisket, sundried tomato, smoked cheddar, spring onion, garlic & herb drizzle",AED 58.00,https://images.deliveryhero.io/image/talabat/Menuitems/62AB8C90C104D4C683C66052BF72FCBB?width=172&amp;height=172
5,BBQ Brisket,"Tomato sauce, fior di latte mozzarella, homemade slow cooked pulled BBQ beef brisket, sundried tomato, smoked cheddar, spring onion, garlic & herb drizzle",AED 58.00,https://images.deliveryhero.io/image/talabat/Menuitems/62AB8C90C104D4C683C66052BF72FCBB?width=172&amp;height=172
6,Oven-baked Garlic Bread & Mozzarella,"Rocco`s classic dough baked with homemade roast garlic, olive oil, fior di latte and fresh rosemary. Add our homemade Pesto, or creamy fresh Straciatella",AED 28.00,https://images.deliveryhero.io/image/talabat/Menuitems/43968F6DA91D70421C57C668E6E18D64?width=172&amp;height=172
7,Oven-baked Garlic Bread & Mozzarella,"Rocco`s classic dough baked with homemade roast garlic, olive oil, fior di latte and fresh rosemary. Add our homemade Pesto, or creamy fresh Straciatella",AED 28.00,https://images.deliveryhero.io/image/talabat/Menuitems/43968F6DA91D70421C57C668E6E18D64?width=172&amp;height=172
8,Fattoria,"Tomato sauce, fior di latte mozzarella, caramelized onions, sundried tomatoes, homemade pesto, roast pine nuts, goat cheese",AED 58.00,https://images.deliveryhero.io/image/talabat/Menuitems/981723DCA638AF2B8683CB0FAA3EAF42?width=172&amp;height=172
9,Fattoria,"Tomato sauce, fior di latte mozzarella, caramelized onions, sundried tomatoes, homemade pesto, roast pine nuts, goat cheese",AED 58.00,https://images.deliveryhero.io/image/talabat/Menuitems/981723DCA638AF2B8683CB0FAA3EAF42?width=172&amp;height=172
10,Garlic Pesto Shrimp,"Pesto cream sauce, fior di latte mozzarella, sauteed shrimp, friarielli, roast garlic",AED 55.00,https://images.deliveryhero.io/image/talabat/Menuitems/F0DD25DB2AFE85D7FC387C5D0DA5DF50?width=172&amp;height=172
