,Item name,Item Description,Item price,Item image url
0,Mixed Seafood Pizza BOGO,"Pizza sauce, mozzarella fior di latte, basil, oregano, garlic, chili flakes, prawns, squids, mussels, olive oil.",AED 61.00,https://images.deliveryhero.io/image/talabat/Menuitems/DFC90CA12E9D60F728BEFED5DBEFCCE4?width=172&amp;height=172
1,4 Cheese Pizza BOGO,"Pizza sauce, mozzarella fior di latte, smoked mozzarella, gorgonzola, parmigiano cheese.",AED 56.00,https://images.deliveryhero.io/image/talabat/Menuitems/5B72678947C62E8F7274D957C01D5C6C?width=172&amp;height=172
2,Hawaiin Pizza BOGO,"Mozzarella fior de latte, turkey ham, beef bacon, fresh pineapple and short ribs.",AED 56.00,https://images.deliveryhero.io/image/talabat/Menuitems/274E786B8644561313D6302F8C980E65?width=172&amp;height=172
3,Buratta Cheese Pizza BOGO,"Pizza sauce, mozzarella fior di latte, semi-dried tomatoes, burrata, oregano and olive oil.",AED 59.00,https://images.deliveryhero.io/image/talabat/Menuitems/C0CCD80696571AE362BB6F09842F571D?width=172&amp;height=172
4,Bufala Cheese with Sundried Tomato Pizza BOGO,"Pizza sauce, mozzarella fior di latte, buffalo mozzarella, basil, oregano, semi-dried tomatoes, olive oil.",AED 59.00,https://images.deliveryhero.io/image/talabat/Menuitems/DD88AB6D00686A0C108EB44591964110?width=172&amp;height=172
5,All Meat Pizza BOGO,"Pizza sauce, mozzarella cheese, turkey ham, spicy beef salami, beef bacon, mushrooms, caramelized onion, fennel seeds, chilli flakes.",AED 61.00,https://images.deliveryhero.io/image/talabat/Menuitems/D7E15BB68E1F74B970B53F8A1C3BD160?width=172&amp;height=172
6,Two Way Pizza,,AED 55.00,https://images.deliveryhero.io/image/talabat/Menuitems/C4E2DBD70F40EB2D635945E91ADA3EBD?width=172&amp;height=172
7,Meal for 1,Choose your favourite Pizza or Pasta with a half portion salad and a drink.,AED 49.00,https://images.deliveryhero.io/image/talabat/Menuitems/C6199B5362B7C63AF67B4EAC1EF3F5E7?width=172&amp;height=172
8,Party Feast,Mix & Match 4 of your favourite pizzas or pastas + 2 appetizers from the below list.,AED 159.00,https://images.deliveryhero.io/image/talabat/Menuitems/7140BFE6017301CB68A79A9F574EEF82?width=172&amp;height=172
9,Meal for 2,Mix and match 2 of your favorite pizzas and pastas from the below list.,AED 79.00,https://images.deliveryhero.io/image/talabat/Menuitems/BD23B1A9FF933AFA8080C5C591463E56?width=172&amp;height=172
10,Meal for 3,Mix & match 3 of your favorite pizzas and pastas.,AED 109.00,https://images.deliveryhero.io/image/talabat/Menuitems/006436881232206A95EE4A68BE9A15BE?width=172&amp;height=172
11,Family Feast,Mix and match 3 of your favorite pizzas and pastas with 2 appetizers from the below list.,AED 119.00,https://images.deliveryhero.io/image/talabat/Menuitems/DC692C25DDFF838605BAD3D98AD079F1?width=172&amp;height=172
12,Classic Margherita Pizza,"Pizza sauce, mozzarella fior di latte, basil, oregano.",AED 47.00,https://images.deliveryhero.io/image/talabat/Menuitems/070E8BD84A1643F943450F726EC724DB?width=172&amp;height=172
13,Margherita with Bufala Mozzarella Pizza,"Pizza sauce, buffalo mozzarella, oregano, cherry tomatoes, olive oil.",AED 57.00,https://images.deliveryhero.io/image/talabat/Menuitems/3EF7B1CF989BFEDB667B9AB5700AF00A?width=172&amp;height=172
14,Spicy Italian Pepperoni Pizza,"Pizza sauce, mozzarella fior di latte, mild spicy beef salami, caramelized onion, taggiasca olives, chili flakes and oregano.",AED 55.00,https://images.deliveryhero.io/image/talabat/Menuitems/7DB767BC96F19D9652EC7091A9FD9F79?width=172&amp;height=172
15,Pepperoni Jalapeño Pizza,"Mozzarella cheese, pizza sauce, oregano, pepperoni , buffalo cheese, jalapeño pickles, button mushrooms, chilli oil.",AED 59.00,https://images.deliveryhero.io/image/talabat/Menuitems/B4F2995CEC344269BA98C732A9F93C75?width=172&amp;height=172
16,Bufalla Cheese with Sundried Tomato Pizza,"Pizza sauce, mozzarella fior di latte, buffalo mozzarella, basil, oregano, semi-dried tomatoes, olive oil.",AED 59.00,https://images.deliveryhero.io/image/talabat/Menuitems/C21405087B1AA097A73D8AA86754BEDA?width=172&amp;height=172
17,Eggplant and Parmesan Pizza,"Pizza sauce, mozzarella fior di latte, basil, oregano, fried eggplant, parmigiano cheese.",AED 51.00AED 38.25,https://images.deliveryhero.io/image/talabat/Menuitems/D10F095CC894CA1985A98F1FF544D009?width=172&amp;height=172
18,4 Cheese Pizza,"Pizza sauce, mozzarella fior di latte, smoked mozzarella, gorgonzola, parmigiano cheese.",AED 56.00,https://images.deliveryhero.io/image/talabat/Menuitems/C3707FFC223089E3D27533F05614932F?width=172&amp;height=172
19,Hawaiian Pizza,"Mozzarella fior de latte, turkey ham, beef bacon, fresh pineapple and short ribs.",AED 56.00,https://images.deliveryhero.io/image/talabat/Menuitems/0039CF0D6A45FAED68D55D18872C844D?width=172&amp;height=172
