,Item name,Item Description,Item price,Item image url
0,Cheesy Garlic Bread (Vegetarian),"A full mini French loaf topped with dried oregano, garlic butter & mozzarella",AED 29.00,https://images.deliveryhero.io/image/talabat/Menuitems/A1DDBDD2D82D56111A263617AECC3FE0?width=172&amp;height=172
1,Arancini,(7 pieces) Wild mushroom risotto balls with green peas & mozzarella served with our homemade roasted pomodoro sauce.,AED 42.00,https://images.deliveryhero.io/image/talabat/Menuitems/0A3AC325B1A1D8F372E0B36A17C921F9?width=172&amp;height=172
2,Crispy Calamari,Fried calamari with tartar sauce & lemon wedge.,AED 39.00,https://images.deliveryhero.io/image/talabat/Menuitems/68A935BD3BB7EC14C070753FD7C01BAC?width=172&amp;height=172
3,Bruschetta (Vegetarian),Toasted baguette served with fresh tomato basil salsa with extra virgin olive oil.,AED 29.00,https://images.deliveryhero.io/image/talabat/Menuitems/10751499C027F89DEED2C415913BEED8?width=172&amp;height=172
4,Caesar Salad (Vegetarian),"Romaine lettuce, croutons, shaved parmesan with classic homemade Caesar dressing.",AED 25.00,https://images.deliveryhero.io/image/talabat/Menuitems/DF2A5B8453F8AF03826E63174E97DBCF?width=172&amp;height=172
5,Caesar Salad with Grilled Chicken,"Grilled Chicken, Romaine lettuce, croutons, shaved parmesan with classic homemade Caesar dressing.",AED 35.00,https://images.deliveryhero.io/image/talabat/Menuitems/DE6E9821A9C8CB79C3D9F8BF9DC6A762?width=172&amp;height=172
6,Penne Pomodoro,"Penne pasta with extra virgin olive oil, red onion, garlic & chili flakes soffritto, cherry tomatoes, fresh parsley, and grated parmesan cheese.",AED 42.00,https://images.deliveryhero.io/image/talabat/Menuitems/56D975106E235C6D9F7C8EC0B4FE88CD?width=172&amp;height=172
7,Spaghetti Puttanesca,"Spaghetti pasta in a pomodoro sauce mixed with anchovies, oregano, black olives, capers and chili, garnished with parmesan cheese and parsley.",AED 46.00,https://images.deliveryhero.io/image/talabat/Menuitems/6B91B915B54219E2B921C3FE0557578D?width=172&amp;height=172
8,Pappardelle Alfredo,"Pappardelle pasta in a cream sauce with marinated lemon thyme grilled chicken breast, mushrooms, grated parmesan cheese and chopped parsley.",AED 60.00,https://images.deliveryhero.io/image/talabat/Menuitems/98B5EB66D2884CAFD6EB07E3F93A0843?width=172&amp;height=172
9,Tagliatelle Sriracha Shrimp,"Tagliatelle pasta with shrimps, cherry tomatoes and baby spinach tossed in a sriracha cream sauce.",AED 65.00,https://images.deliveryhero.io/image/talabat/Menuitems/67AFE4A919444A03B6DF8C38F5965BB0?width=172&amp;height=172
